Country Code,Short Name,Table Name,Long Name,2-Alpha Code,Currency Unit,Region,WB-2 Code,Latest Population Census
ABW,Aruba,Aruba,Aruba,AW,Aruban florin,Latin America & Caribbean,AW,2010
AFG,Afghanistan,Afghanistan,Islamic State of Afghanistan,AF,Afghan afghani,South Asia,AF,1979
AGO,Angola,Angola,People's Republic of Angola,AO,Angolan kwanza,Sub-Saharan Africa,AO,1970
ALB,Albania,Albania,Republic of Albania,AL,Albanian lek,Europe & Central Asia,AL,2011
AND,Andorra,Andorra,Principality of Andorra,AD,Euro,Europe & Central Asia,AD,2011. Population figures compiled from administrative registers.
ARB,Arab World,Arab World,Arab World,1A,,,1A,
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,AE,U.A.E. dirham,Middle East & North Africa,AE,2010
ARG,Argentina,Argentina,Argentine Republic,AR,Argentine peso,Latin America & Caribbean,AR,2010
ARM,Armenia,Armenia,Republic of Armenia,AM,Armenian dram,Europe & Central Asia,AM,2011
ASM,American Samoa,American Samoa,American Samoa,AS,U.S. dollar,East Asia & Pacific,AS,2010
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,AG,East Caribbean dollar,Latin America & Caribbean,AG,2011
AUS,Australia,Australia,Commonwealth of Australia,AU,Australian dollar,East Asia & Pacific,AU,2011
AUT,Austria,Austria,Republic of Austria,AT,Euro,Europe & Central Asia,AT,2011. Population figures compiled from administrative registers.
AZE,Azerbaijan,Azerbaijan,Republic of Azerbaijan,AZ,New Azeri manat,Europe & Central Asia,AZ,2009
BDI,Burundi,Burundi,Republic of Burundi,BI,Burundi franc,Sub-Saharan Africa,BI,2008
BEL,Belgium,Belgium,Kingdom of Belgium,BE,Euro,Europe & Central Asia,BE,2011
BEN,Benin,Benin,Republic of Benin,BJ,CFA franc,Sub-Saharan Africa,BJ,2013
BFA,Burkina Faso,Burkina Faso,Burkina Faso,BF,CFA franc,Sub-Saharan Africa,BF,2006
BGD,Bangladesh,Bangladesh,People's Republic of Bangladesh,BD,Bangladeshi taka,South Asia,BD,2011
BGR,Bulgaria,Bulgaria,Republic of Bulgaria,BG,Bulgarian lev,Europe & Central Asia,BG,2011
BHR,Bahrain,Bahrain,Kingdom of Bahrain,BH,Bahraini dinar,Middle East & North Africa,BH,2010
BHS,The Bahamas,"Bahamas, The",Commonwealth of The Bahamas,BS,Bahamian dollar,Latin America & Caribbean,BS,2010
